Facility ID,Net Generation (Megawatthours),Total Gross Load (MW),ratio (net/gross),Nameplate Capacity (MW)
9,27840.0,28897.0,0.963421808492231,86.9
10,1100429.0,1186092.0,0.9277771032938423,1288.4
47,731919.0,955012.0,0.766397699714768,1169.6
54,954113.996,981724.0,0.9718760018090624,938.4
59,395686.002,442124.0,0.8949661226262315,109.8
60,1314761.031,1459881.0,0.9005946587427331,324.3
108,1837470.0480000002,2015850.0,0.9115112969715009,348.7
124,2071.0,2628.0,0.7880517503805176,85.0
130,8773860.04,9496169.0,0.9239368044102837,2451.5
165,3996683.9960000003,4218200.0,0.9474856564411361,1194.3
170,336183.0,354301.0,0.948862690198447,552.5
298,7523394.965,8282904.0,0.9083040157171929,1849.8
350,18783.0,20069.0,0.9359210723005631,1612.0
377,14434.0,15207.0,0.9491681462484383,57.4
470,4164591.95,4459996.0,0.9337658486689226,1252.8
492,73232.0,81553.0,0.8979681924637966,245.1
525,2274874.022,2542111.0,0.8948759601764045,465.4
589,209275.999,238775.0,0.8764569113181866,59.5
591,767.0,1066.0,0.7195121951219512,55.0
592,-672.0,217.0,0.0,18.5
593,391344.00200000004,453120.0,0.86366525865113,710.3
602,2326415.967,2623795.0,0.886660721207259,1370.2
613,262870.999,6518051.0,0.04032969349273272,1215.9
641,2035714.0,2121185.0,0.9597060133840283,2107.5
645,7473386.001,7638744.0,0.9783527240865776,1797.0
666,311006.99600000004,326599.0,0.9522594864038164,370.0
703,12258800.649,13342285.0,0.9187931938944491,3498.6
728,1187177.0,1300098.0,0.9131442398957617,807.4
876,2689990.959,2925038.0,0.9196430812180901,1319.0
883,-607.0,0.0,0.0,112.0
889,6509620.978,7127685.0,0.9132868495170592,1259.6
963,900919.0029999999,1064091.0,0.84665597491192,230.1
983,5779878.044000001,6410836.0,0.9015794576557568,1303.8000000000002
997,1934991.963,2132852.0,0.9072321769161668,540.0
1012,968607.998,1078741.0,0.8979059829931374,368.9
1040,52619.0,62828.0,0.8375087540587,93.9
1082,5979018.010000001,6524486.0,0.9163967874250938,1648.3
1091,1807944.953,1989154.0,0.9089014490582429,584.1
1122,284951.99799999996,306682.0,0.9291448405840577,108.8
1217,4097.0,7239.0,0.5659621494681586,119.1
1233,44028.0,51882.0,0.848618017809645,149.0
1235,19800.0,23607.0,0.8387342737323675,81.6
